"run_stamp","tool","view_name","view_mode","processing_scope","write_mode","parameter_target_mode","worksharing_mode","element_id","category","family","type","level","system","name","target_parameter","requested_value","actual_before","actual_after","outcome","reason","target_scope","target_kind","target_param_id","target_definition_name","target_storage","target_is_read_only","candidate_count","selected_target_count","asset_score","asset_type_code","derived_asset_id","asset_id_rule","asset_id_reason","asset_type","asset_category","linked_room_source","linked_room_link","linked_room_number","linked_room_name","linked_room_department","linked_room_subdepartment","linked_room_building","linked_room_site","resolved_department","resolved_subdepartment","resolved_building","resolved_site","derived_wbs00","derived_wbs01","derived_wbs03","derived_wbs05","derived_wbs_code"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288383","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_AssetID","MAGS-HO-11-15288383","MAGS-HO-11-15288383","MAGS-HO-11-15288383","OK","verified","instance","Shared Parameter","7626164","NWB_AssetID","String","False","1","1","36","MAGS","MAGS-HO-11-15288383","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ARC-WBH-AR-MOD-0036","IP3.11.085","Ensuite, Inboard","IP3","01","","","IP3","01","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288383","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_Discipline","ME","ME","ME","OK","verified","instance","Shared Parameter","7626159","NWB_Discipline","String","False","1","1","36","MAGS","MAGS-HO-11-15288383","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ARC-WBH-AR-MOD-0036","IP3.11.085","Ensuite, Inboard","IP3","01","","","IP3","01","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288383","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_Department","IP3","IP3","IP3","OK","verified","instance","Shared Parameter","7626168","NWB_Department","String","False","1","1","36","MAGS","MAGS-HO-11-15288383","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ARC-WBH-AR-MOD-0036","IP3.11.085","Ensuite, Inboard","IP3","01","","","IP3","01","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288383","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_SubDepartment","01","01","01","OK","verified","instance","Shared Parameter","7626178","NWB_SubDepartment","String","False","1","1","36","MAGS","MAGS-HO-11-15288383","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ARC-WBH-AR-MOD-0036","IP3.11.085","Ensuite, Inboard","IP3","01","","","IP3","01","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288383","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_WBS03","IP3","IP3","IP3","OK","verified","instance","Shared Parameter","9214750","NWB_WBS03","String","False","1","1","36","MAGS","MAGS-HO-11-15288383","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ARC-WBH-AR-MOD-0036","IP3.11.085","Ensuite, Inboard","IP3","01","","","IP3","01","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288383","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_WBSCode","WBH-HO-11-IP3-ME-SI5","WBH-HO-11-IP3-ME-SI5","WBH-HO-11-IP3-ME-SI5","OK","verified","instance","Shared Parameter","9214774","NWB_WBSCode","String","False","1","1","36","MAGS","MAGS-HO-11-15288383","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ARC-WBH-AR-MOD-0036","IP3.11.085","Ensuite, Inboard","IP3","01","","","IP3","01","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288385","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_AssetID","MAGS-HO-11-15288385","MAGS-HO-11-15288385","MAGS-HO-11-15288385","OK","verified","instance","Shared Parameter","7626164","NWB_AssetID","String","False","1","1","36","MAGS","MAGS-HO-11-15288385","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ARC-WBH-AR-MOD-0036","IP3.11.086","Ensuite, Inboard","IP3","01","","","IP3","01","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288385","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_Discipline","ME","ME","ME","OK","verified","instance","Shared Parameter","7626159","NWB_Discipline","String","False","1","1","36","MAGS","MAGS-HO-11-15288385","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ARC-WBH-AR-MOD-0036","IP3.11.086","Ensuite, Inboard","IP3","01","","","IP3","01","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288385","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_Department","IP3","IP3","IP3","OK","verified","instance","Shared Parameter","7626168","NWB_Department","String","False","1","1","36","MAGS","MAGS-HO-11-15288385","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ARC-WBH-AR-MOD-0036","IP3.11.086","Ensuite, Inboard","IP3","01","","","IP3","01","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288385","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_SubDepartment","01","01","01","OK","verified","instance","Shared Parameter","7626178","NWB_SubDepartment","String","False","1","1","36","MAGS","MAGS-HO-11-15288385","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ARC-WBH-AR-MOD-0036","IP3.11.086","Ensuite, Inboard","IP3","01","","","IP3","01","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288385","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_WBS03","IP3","IP3","IP3","OK","verified","instance","Shared Parameter","9214750","NWB_WBS03","String","False","1","1","36","MAGS","MAGS-HO-11-15288385","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ARC-WBH-AR-MOD-0036","IP3.11.086","Ensuite, Inboard","IP3","01","","","IP3","01","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288385","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_WBSCode","WBH-HO-11-IP3-ME-SI5","WBH-HO-11-IP3-ME-SI5","WBH-HO-11-IP3-ME-SI5","OK","verified","instance","Shared Parameter","9214774","NWB_WBSCode","String","False","1","1","36","MAGS","MAGS-HO-11-15288385","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ARC-WBH-AR-MOD-0036","IP3.11.086","Ensuite, Inboard","IP3","01","","","IP3","01","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288397","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_AssetID","MAGS-HO-11-15288397","MAGS-HO-11-15288397","MAGS-HO-11-15288397","OK","verified","instance","Shared Parameter","7626164","NWB_AssetID","String","False","1","1","36","MAGS","MAGS-HO-11-15288397","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP3.11.087","Ensuite, Inboard","Inpatient Obstetric 3","","","","Inpatient Obstetric 3","","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288397","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_Discipline","ME","ME","ME","OK","verified","instance","Shared Parameter","7626159","NWB_Discipline","String","False","1","1","36","MAGS","MAGS-HO-11-15288397","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP3.11.087","Ensuite, Inboard","Inpatient Obstetric 3","","","","Inpatient Obstetric 3","","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288397","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_Department","Inpatient Obstetric 3","Inpatient Obstetric 3","Inpatient Obstetric 3","OK","verified","instance","Shared Parameter","7626168","NWB_Department","String","False","1","1","36","MAGS","MAGS-HO-11-15288397","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP3.11.087","Ensuite, Inboard","Inpatient Obstetric 3","","","","Inpatient Obstetric 3","","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288397","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_WBS03","IP3","IP3","IP3","OK","verified","instance","Shared Parameter","9214750","NWB_WBS03","String","False","1","1","36","MAGS","MAGS-HO-11-15288397","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP3.11.087","Ensuite, Inboard","Inpatient Obstetric 3","","","","Inpatient Obstetric 3","","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288397","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_WBSCode","WBH-HO-11-IP3-ME-SI5","WBH-HO-11-IP3-ME-SI5","WBH-HO-11-IP3-ME-SI5","OK","verified","instance","Shared Parameter","9214774","NWB_WBSCode","String","False","1","1","36","MAGS","MAGS-HO-11-15288397","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP3.11.087","Ensuite, Inboard","Inpatient Obstetric 3","","","","Inpatient Obstetric 3","","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288399","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_AssetID","MAGS-HO-11-15288399","MAGS-HO-11-15288399","MAGS-HO-11-15288399","OK","verified","instance","Shared Parameter","7626164","NWB_AssetID","String","False","1","1","36","MAGS","MAGS-HO-11-15288399","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP3.11.088","Ensuite, Inboard","Inpatient Obstetric 3","","","","Inpatient Obstetric 3","","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288399","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_Discipline","ME","ME","ME","OK","verified","instance","Shared Parameter","7626159","NWB_Discipline","String","False","1","1","36","MAGS","MAGS-HO-11-15288399","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP3.11.088","Ensuite, Inboard","Inpatient Obstetric 3","","","","Inpatient Obstetric 3","","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288399","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_Department","Inpatient Obstetric 3","Inpatient Obstetric 3","Inpatient Obstetric 3","OK","verified","instance","Shared Parameter","7626168","NWB_Department","String","False","1","1","36","MAGS","MAGS-HO-11-15288399","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP3.11.088","Ensuite, Inboard","Inpatient Obstetric 3","","","","Inpatient Obstetric 3","","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288399","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_WBS03","IP3","IP3","IP3","OK","verified","instance","Shared Parameter","9214750","NWB_WBS03","String","False","1","1","36","MAGS","MAGS-HO-11-15288399","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP3.11.088","Ensuite, Inboard","Inpatient Obstetric 3","","","","Inpatient Obstetric 3","","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288399","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_WBSCode","WBH-HO-11-IP3-ME-SI5","WBH-HO-11-IP3-ME-SI5","WBH-HO-11-IP3-ME-SI5","OK","verified","instance","Shared Parameter","9214774","NWB_WBSCode","String","False","1","1","36","MAGS","MAGS-HO-11-15288399","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ACD-WBH-MH-MOD-0001","IP3.11.088","Ensuite, Inboard","Inpatient Obstetric 3","","","","Inpatient Obstetric 3","","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288401","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_AssetID","MAGS-HO-11-15288401","MAGS-HO-11-15288401","MAGS-HO-11-15288401","OK","verified","instance","Shared Parameter","7626164","NWB_AssetID","String","False","1","1","36","MAGS","MAGS-HO-11-15288401","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ARC-WBH-AR-MOD-0036","IP3.11.099","Ensuite, Inboard","IP3","01","","","IP3","01","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288401","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_Discipline","ME","ME","ME","OK","verified","instance","Shared Parameter","7626159","NWB_Discipline","String","False","1","1","36","MAGS","MAGS-HO-11-15288401","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ARC-WBH-AR-MOD-0036","IP3.11.099","Ensuite, Inboard","IP3","01","","","IP3","01","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288401","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_Department","IP3","IP3","IP3","OK","verified","instance","Shared Parameter","7626168","NWB_Department","String","False","1","1","36","MAGS","MAGS-HO-11-15288401","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ARC-WBH-AR-MOD-0036","IP3.11.099","Ensuite, Inboard","IP3","01","","","IP3","01","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288401","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_SubDepartment","01","01","01","OK","verified","instance","Shared Parameter","7626178","NWB_SubDepartment","String","False","1","1","36","MAGS","MAGS-HO-11-15288401","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ARC-WBH-AR-MOD-0036","IP3.11.099","Ensuite, Inboard","IP3","01","","","IP3","01","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288401","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_WBS03","IP3","IP3","IP3","OK","verified","instance","Shared Parameter","9214750","NWB_WBS03","String","False","1","1","36","MAGS","MAGS-HO-11-15288401","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ARC-WBH-AR-MOD-0036","IP3.11.099","Ensuite, Inboard","IP3","01","","","IP3","01","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
"20260815_001800","NWB_PARAMETERS AutoFill","Multi-Category Schedule 2","schedule","selection","smart","Both","skip-other-users","15288401","Air Terminals","MHT_AT_RA ECG cw plenum","","LEVEL 11","Return Air","Damper","NWB_WBSCode","WBH-HO-11-IP3-ME-SI5","WBH-HO-11-IP3-ME-SI5","WBH-HO-11-IP3-ME-SI5","OK","verified","instance","Shared Parameter","9214774","NWB_WBSCode","String","False","1","1","36","MAGS","MAGS-HO-11-15288401","default","generated from matched Asset Master row with blank NWB_AssetID","Air Grilles","Air Terminal","self","NWB-ARC-WBH-AR-MOD-0036","IP3.11.099","Ensuite, Inboard","IP3","01","","","IP3","01","","","WBH","HO","IP3","SI5","WBH-HO-11-IP3-ME-SI5"
